타임스탬프,"(1/5) 최근 유행했었던 ""이탈리안 브레인롯"" 밈을 당시에 긍정적으로 생각하셨나요?",(2/5) 성별이 무엇인가요?,"(3/5) mbti가 'I'와 ""E"" 중 무엇인가요?",(4/5) 평소 영상을 어느정도 시청하시나요?,"(5/5) 하루에 인터넷 커뮤니티(디시인사이드, 아카라이브 등등)를 얼마나 이용하시나요?"
2025. 7. 4 오후 2:17:09,아니오,남성,I,자주 시청한다,종종 이용한다(30분 정도)
2025. 7. 4 오후 2:18:52,네,남성,I,자주 시청한다,아니요
2025. 7. 4 오후 2:22:48,네,남성,I,자주 시청한다,아니요
2025. 7. 4 오후 2:51:36,아니오,남성,I,종종 시청한다.,적당히 이용한다(1시간 정도)
2025. 7. 5 오후 4:01:37,아니오,남성,I,자주 시청한다,많이 이용한다(2시간 정도)
2025. 7. 7 오전 11:07:46,네,남성,I,자주 시청한다,적당히 이용한다(1시간 정도)
2025. 7. 7 오후 1:30:40,네,남성,E,종종 시청한다.,아니요
2025. 7. 7 오후 1:30:51,네,남성,I,자주 시청한다,종종 이용한다(30분 정도)
2025. 7. 7 오후 1:31:00,네,남성,I,자주 시청한다,종종 이용한다(30분 정도)
2025. 7. 7 오후 1:31:32,네,남성,E,자주 시청한다,아니요
2025. 7. 7 오후 1:31:44,아니오,남성,E,종종 시청한다.,종종 이용한다(30분 정도)
2025. 7. 7 오후 1:32:08,아니오,여성,I,자주 시청한다,아니요
2025. 7. 7 오후 1:32:43,네,남성,E,종종 시청한다.,많이 이용한다(2시간 정도)
2025. 7. 7 오후 1:32:48,네,남성,E,자주 시청한다,많이 이용한다(2시간 정도)
2025. 7. 7 오후 1:33:25,네,남성,E,자주 시청한다,종종 이용한다(30분 정도)
2025. 7. 7 오후 1:33:59,네,남성,I,자주 시청한다,상당히 많이 이용한다(2시간 이상)
2025. 7. 7 오후 1:34:30,아니오,남성,I,자주 시청한다,종종 이용한다(30분 정도)
2025. 7. 7 오후 1:35:09,아니오,남성,I,자주 시청한다,많이 이용한다(2시간 정도)
2025. 7. 7 오후 1:35:56,네,남성,I,종종 시청한다.,많이 이용한다(2시간 정도)
2025. 7. 7 오후 1:36:37,네,남성,E,자주 시청한다,아니요
2025. 7. 7 오후 1:36:52,네,남성,E,자주 시청한다,아니요
2025. 7. 7 오후 1:37:25,네,남성,I,자주 시청한다,아니요
2025. 7. 7 오후 1:37:32,네,남성,I,자주 시청한다,적당히 이용한다(1시간 정도)
2025. 7. 7 오후 1:38:26,아니오,남성,I,자주 시청한다,종종 이용한다(30분 정도)
2025. 7. 7 오후 1:38:50,아니오,남성,I,자주 시청한다,종종 이용한다(30분 정도)
2025. 7. 7 오후 1:38:53,아니오,남성,I,종종 시청한다.,아니요
2025. 7. 7 오후 1:39:17,아니오,남성,I,자주 시청한다,아니요
2025. 7. 7 오후 1:40:01,네,남성,I,자주 시청한다,적당히 이용한다(1시간 정도)
2025. 7. 7 오후 1:40:59,네,남성,I,자주 시청한다,상당히 많이 이용한다(2시간 이상)
2025. 7. 7 오후 1:41:25,네,남성,E,자주 시청한다,아니요
2025. 7. 7 오후 1:42:04,아니오,남성,I,종종 시청한다.,적당히 이용한다(1시간 정도)
2025. 7. 7 오후 1:42:13,네,남성,I,종종 시청한다.,적당히 이용한다(1시간 정도)
2025. 7. 7 오후 1:44:51,아니오,여성,E,자주 시청한다,아니요
2025. 7. 7 오후 1:44:55,아니오,남성,E,자주 시청한다,아니요
2025. 7. 7 오후 1:45:59,네,남성,E,종종 시청한다.,많이 이용한다(2시간 정도)
2025. 7. 7 오후 1:48:52,아니오,여성,I,거의 시청하지 않는다.,아니요
2025. 7. 7 오후 1:51:57,네,남성,I,자주 시청한다,아니요
2025. 7. 7 오후 1:52:36,아니오,남성,I,자주 시청한다,아니요
2025. 7. 7 오후 1:53:41,네,남성,E,자주 시청한다,아니요
2025. 7. 7 오후 1:54:01,아니오,남성,I,종종 시청한다.,아니요
2025. 7. 7 오후 1:56:40,아니오,여성,E,종종 시청한다.,상당히 많이 이용한다(2시간 이상)
2025. 7. 7 오후 1:59:30,네,남성,E,자주 시청한다,아니요
2025. 7. 7 오후 2:00:08,네,남성,E,자주 시청한다,종종 이용한다(30분 정도)
2025. 7. 7 오후 2:00:49,네,남성,I,종종 시청한다.,아니요
2025. 7. 7 오후 2:02:40,아니오,남성,I,자주 시청한다,아니요
2025. 7. 7 오후 2:03:12,아니오,남성,I,자주 시청한다,적당히 이용한다(1시간 정도)
2025. 7. 7 오후 3:00:34,아니오,남성,I,종종 시청한다.,아니요
2025. 7. 7 오후 3:52:31,아니오,남성,E,자주 시청한다,아니요
2025. 7. 7 오후 3:53:24,네,여성,I,거의 시청하지 않는다.,아니요
2025. 7. 7 오후 3:53:55,네,남성,I,자주 시청한다,많이 이용한다(2시간 정도)
